0:0:0:0:0:0:0:1 - - [10/May/2024:05:52:23 +0800] "GET /comp4321/apis/getData.jsp?input=test%20 HTTP/1.1" 500 2550
0:0:0:0:0:0:0:1 - - [10/May/2024:05:55:22 +0800] "GET /comp4321/ HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [10/May/2024:05:55:22 +0800] "GET /comp4321/styles.css HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [10/May/2024:05:55:22 +0800] "GET /comp4321/utils/utils.js HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [10/May/2024:05:55:22 +0800] "GET /comp4321/utils/getData.js HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [10/May/2024:05:55:22 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/May/2024:05:55:27 +0800] "GET /comp4321/apis/getData.jsp?input=est%20 HTTP/1.1" 500 2272
0:0:0:0:0:0:0:1 - - [10/May/2024:05:55:46 +0800] "GET /comp4321/ HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [10/May/2024:05:55:47 +0800] "GET /comp4321/styles.css HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [10/May/2024:05:55:47 +0800] "GET /comp4321/utils/utils.js HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [10/May/2024:05:55:47 +0800] "GET /comp4321/utils/getData.js HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [10/May/2024:05:55:47 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/May/2024:05:56:24 +0800] "GET /comp4321/apis/getData.jsp?input=tes%20 HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [10/May/2024:05:56:53 +0800] "GET /comp4321/apis/getData.jsp?input=tes%20 HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [10/May/2024:06:05:55 +0800] "GET /comp4321/ HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [10/May/2024:06:05:55 +0800] "GET /comp4321/styles.css HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [10/May/2024:06:05:55 +0800] "GET /comp4321/utils/getData.js HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [10/May/2024:06:05:55 +0800] "GET /comp4321/utils/utils.js HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [10/May/2024:06:05:55 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/May/2024:06:07:02 +0800] "GET /comp4321/apis/getData.jsp?input=test%20 HTTP/1.1" 500 2635
0:0:0:0:0:0:0:1 - - [10/May/2024:06:07:02 +0800] "GET /comp4321/apis/getData.jsp?input=test%20 HTTP/1.1" 500 2635
0:0:0:0:0:0:0:1 - - [10/May/2024:06:09:53 +0800] "GET /comp4321/ HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [10/May/2024:06:09:53 +0800] "GET /comp4321/styles.css HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [10/May/2024:06:09:53 +0800] "GET /comp4321/utils/utils.js HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [10/May/2024:06:09:53 +0800] "GET /comp4321/utils/getData.js HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [10/May/2024:06:09:53 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/May/2024:06:11:02 +0800] "GET /comp4321/apis/getData.jsp?input=testing%20 HTTP/1.1" 500 2635
0:0:0:0:0:0:0:1 - - [10/May/2024:06:11:02 +0800] "GET /comp4321/apis/getData.jsp?input=testing%20 HTTP/1.1" 500 2635
0:0:0:0:0:0:0:1 - - [10/May/2024:06:12:10 +0800] "GET /comp4321/ HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [10/May/2024:06:12:10 +0800] "GET /comp4321/styles.css HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [10/May/2024:06:12:10 +0800] "GET /comp4321/utils/utils.js HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [10/May/2024:06:12:10 +0800] "GET /comp4321/utils/getData.js HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [10/May/2024:06:12:10 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/May/2024:06:12:15 +0800] "GET /comp4321/apis/getData.jsp?input= HTTP/1.1" 500 2766
0:0:0:0:0:0:0:1 - - [10/May/2024:06:12:15 +0800] "GET /comp4321/apis/getData.jsp?input= HTTP/1.1" 500 3045
0:0:0:0:0:0:0:1 - - [10/May/2024:06:12:31 +0800] "GET /comp4321/apis/getData.jsp?input=please%20help%20me HTTP/1.1" 500 2766
0:0:0:0:0:0:0:1 - - [10/May/2024:06:12:40 +0800] "GET /comp4321/ HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [10/May/2024:06:12:40 +0800] "GET /comp4321/styles.css HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [10/May/2024:06:12:40 +0800] "GET /comp4321/utils/utils.js HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [10/May/2024:06:12:40 +0800] "GET /comp4321/utils/getData.js HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [10/May/2024:06:12:40 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/May/2024:06:12:47 +0800] "GET /comp4321/apis/getData.jsp?input=Teg HTTP/1.1" 500 2766
0:0:0:0:0:0:0:1 - - [10/May/2024:06:13:17 +0800] "GET /comp4321/apis/getData.jsp?input=Teg HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [10/May/2024:06:14:10 +0800] "GET /comp4321/ HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [10/May/2024:06:14:10 +0800] "GET /comp4321/styles.css HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [10/May/2024:06:14:10 +0800] "GET /comp4321/utils/utils.js HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [10/May/2024:06:14:10 +0800] "GET /comp4321/utils/getData.js HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [10/May/2024:06:14:10 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/May/2024:06:15:21 +0800] "GET /comp4321/apis/getData.jsp?input=test HTTP/1.1" 500 1435
0:0:0:0:0:0:0:1 - - [10/May/2024:06:15:21 +0800] "GET /comp4321/apis/getData.jsp?input=test HTTP/1.1" 500 1435
0:0:0:0:0:0:0:1 - - [10/May/2024:06:15:43 +0800] "GET /comp4321/apis/getData.jsp?input=please%20help%20me HTTP/1.1" 500 1435
0:0:0:0:0:0:0:1 - - [10/May/2024:06:19:09 +0800] "GET /comp4321/ HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [10/May/2024:06:19:09 +0800] "GET /comp4321/styles.css HTTP/1.1" 200 3828
